SMILES,Tg,density(g/cm3),1E,2E,4E,1iso,2iso,4iso,1w,2w,4w,1V,2V,4V,1D,2D,4D,1HOMO,1LUMO,1gap,2HOMO,2LUMO,2gap,4HOMO,4LUMO,4gap,num
C([*])C([*])(C(=O)OC),278,1.22,-20.783291,-40.56681128,-80.12727057,35.83,68.98724452,138.5153462,88.104,174.1919,346.3679,124.467346,209.313339,384.304596,0.7078,0.8322,0.9014,-10.89843781,0.850628364,11.74906618,-10.73974598,0.753653077,11.49339906,-10.73691387,0.638632585,11.37554646,acrylate_062
C([*])C([*])(C)(C(=O)OC),378,1.15,-23.94963553,-46.89374595,-92.78235282,42.41834128,84.54401008,164.9881173,102.13,202.2439,402.4719,155.89505,253.041077,459.876007,0.6551,0.7994,0.8752,-10.7256226,0.86675287,11.59237547,-10.6899951,0.75914235,11.44913745,-10.65073816,0.696527134,11.3472653,acrylate_063
C([*])C([*])(C)(C(=O)OCCCCCCCCCC),203,0.97,-52.43292476,-103.8666555,-206.7245409,101.3889051,203.4489328,406.6676341,228.3639,454.7119,907.4079,350.870697,655.443604,1208.377319,0.6541,0.6939,0.751,-10.64323829,0.920123528,11.56336182,-10.49674684,0.925795821,11.42254266,-10.57402897,0.722821059,11.29685003,acrylate_064
C([*])C([*])(C(=O)OCCCCCCCC),208,1,-42.93693849,-84.87739347,-168.7534658,82.05450526,162.9687302,326.6813098,186.2859,370.5558,739.0959,286.591858,519.998596,957.393433,0.6519,0.7128,0.772,-10.8100933,0.888455244,11.69854855,-10.65304508,0.810591381,11.46363646,-10.6529647,0.550823808,11.20378851,acrylate_065
C([*])C([*])(C(=O)OCC(C)(C)C),295,1.05,-33.45048416,-65.90026343,-130.8022407,62.07105418,123.0304775,245.2978873,144.2079,286.3998,570.7839,219.887131,387.584625,715.651855,0.6598,0.7391,0.7976,-10.80269563,0.938103643,11.74079927,-10.69648529,0.845699929,11.54218522,-10.68702658,0.731390135,11.41841671,acrylate_066
C([*])C([*])(C(=O)OCCCCCCCCC),215,0.99,-46.10137315,-91.2078783,-181.4109936,88.62386714,176.431068,352.738662,200.3119,398.6078,795.1999,308.235718,568.918152,1025.10498,0.6523,0.7008,0.7758,-10.79277306,0.893299078,11.68607214,-10.66487205,0.853655816,11.51852786,-10.6477009,0.596828817,11.24452971,acrylate_067
C([*])C([*])(C(=O)Oc1ccccc1C),325,1.15,-35.67334775,-70.35357204,-139.7055363,85.63755083,159.5039261,322.86044,164.196,326.3759,650.736,187.249985,361.12384,676.976746,0.8775,0.9039,0.9613,-9.444103553,0.027782428,9.471885981,-9.074820728,0.068931671,9.143752399,-9.143298385,-0.027788082,9.115510303,acrylate_068
C([*])C([*])(C(=O)Oc1ccc(C)cc1),316,1.15,-35.67355263,-70.3541947,-139.7061833,87.79556619,161.0725267,319.7919975,164.196,326.3759,650.736,203.577927,365.814667,678.571289,0.8074,0.8922,0.959,-9.212489403,0.089107491,9.301596894,-8.963055287,0.166484012,9.1295393,-8.908493683,0.141209693,9.049703376,acrylate_073
C([*])C([*])(C)C(=O)OCCCCC,268,1.03,-36.61087364,-72.22463826,-143.4292554,69.0752575,136.93988,273.9538893,158.2339,314.4518,626.8879,243.330795,431.985535,795.210571,0.6535,0.728,0.7885,-10.65631925,0.926320573,11.58263982,-10.49229379,0.930990787,11.42328458,-10.52505856,0.646062304,11.17112086,acrylate_074
C([*])C([*])(C(=O)OCCc1ccccc1),270,1.14,-38.83148919,-76.66455577,-152.3281114,86.63252518,171.6323195,338.2654907,178.2219,354.4279,706.84,215.272232,408.631592,748.224182,0.8329,0.8677,0.9448,-9.472663834,0.396728068,9.869391902,-9.267578677,0.48047664,9.748055317,-9.28250622,0.281382653,9.563888873,acrylate_075
C([*])C([*])(C)(C(=O)OC1=CC=CC=C1),383,1.15,-35.66887135,-70.34500732,-139.668686,86.05465244,158.270259,326.0258808,164.196,326.3759,650.736,208.106995,362.703735,670.114014,0.7891,0.8999,0.9711,-9.470270622,-0.012677885,9.457592737,-9.279914836,0.081772386,9.361687221,-9.342672563,-0.112071794,9.230600769,acrylate_077
C([*])C([*])(C(=O)OCCC),236,1.11,-27.11577428,-53.23224825,-105.4590267,49.24824675,97.17008847,195.2704813,116.1561,230.2959,458.5759,172.107422,307.79953,556.172058,0.6785,0.7484,0.8246,-10.81584165,0.890633992,11.70647564,-10.67149493,0.860963792,11.53245872,-10.74088346,0.660656455,11.40153992,acrylate_078
C([*])C([*])(C)(C(=O)OCCC),308,1.07,-30.2821843,-59.56180092,-118.1137528,55.93269454,110.7086366,221.5718257,130.182,258.3479,514.6799,197.805252,344.410217,636.314087,0.6596,0.7502,0.8089,-10.65959669,0.922648717,11.58224541,-10.59704428,0.814933428,11.41197771,-10.51933489,0.775880734,11.29521562,acrylate_079
C([*])C([*])(C(=O)OC(C)CC),252,1.07,-30.28408968,-59.57057518,-118.1365275,56.00043843,110.0651966,221.1040943,130.182,258.3479,514.6799,181.407837,350.58847,644.872681,0.7217,0.737,0.7982,-10.72093641,0.944620878,11.66555729,-10.57197942,0.918200503,11.49017992,-10.63186573,0.753593469,11.38545919,acrylate_080
C([*])C([*])(C)(C(=O)OC(C)CC),333,1.05,-33.45075165,-65.90340915,-130.7917448,62.6620942,122.8317803,246.8563814,144.2079,286.3998,570.7839,209.226791,390.842499,724.045776,0.6919,0.7328,0.7884,-10.58093437,0.973500706,11.55443508,-10.39556698,0.941129411,11.33669639,-10.44686458,0.834451038,11.28131562,acrylate_081
C([*])C([*])(C(=O)OC(C)(C)C),346,1.07,-30.28821618,-59.57593188,-118.1453088,55.528364,109.4802886,222.1078431,130.182,258.3479,514.6799,212.777557,345.993103,646.590637,0.6119,0.7468,0.7961,-10.56376591,1.017098385,11.5808643,-10.43408994,1.013593197,11.44768313,-10.48538135,0.794913688,11.28029504,acrylate_082
C([*])C([*])(C)(C(=O)OC(C)(C)C),391,1.05,-33.45470258,-65.9064854,-130.8060245,62.16979991,123.3846164,245.3013004,144.2079,286.3998,570.7839,226.371628,392.536041,711.060425,0.6375,0.7296,0.8027,-10.41444924,1.043966215,11.45841546,-10.33835328,0.978956271,11.31730955,-10.24656129,0.866261243,11.11282253,acrylate_083
C([*])C([*])(C)(C(=O)OCCCCCCCCCCCCCC),232,0.95,-65.08986142,-129.1831941,-257.3543005,128.2505385,253.6130515,509.8304214,284.4678,566.9199,1131.8304,442.291748,786.830994,1500.687378,0.6467,0.7206,0.7543,-10.61961088,0.923418833,11.54302971,-10.60932027,0.787213245,11.39653352,-10.48211602,0.679888597,11.16200462,acrylate_084
